asset_uid,coingecko_id,active,cg_valid_from,cg_valid_to,binance_symbol,binance_multiplier,valid_from,valid_to,evidence
DRESS,dressdio,False,,,,,,,no Binance USDT perp validated
DRG,dragonswap,False,,,,,,,no Binance USDT perp validated
DRGN,dragonchain,False,,,,,,,no Binance USDT perp validated
DRIFT,drift-protocol,True,,,DRIFTUSDT,1.0,2024-11-08,,"ticker match; vs CoinGecko drift-protocol: 679 days, median gap 0.24%"
DROP,drop-2,False,,,,,,,no Binance USDT perp validated
DRV,derive,True,,,,,,,no Binance USDT perp validated
DSOL,drift-staked-sol,False,,,,,,,no Binance USDT perp validated
DSTRX,districts,False,,,,,,,no Binance USDT perp validated
DSYNC,destra-network,False,,,,,,,no Binance USDT perp validated
DUAL,dual,True,,,,,,,no Binance USDT perp validated
DUCK,duckchain-token,False,,,,,,,no Binance USDT perp validated
DUPE,dupe,False,,,,,,,no Binance USDT perp validated
DUSD,standx-dusd,True,,,,,,,no Binance USDT perp validated
DUSK,dusk-network,True,,,DUSKUSDT,1.0,2022-01-06,,"ticker match; vs CoinGecko dusk-network: 728 days, median gap 0.14%"
DXI,dacxi,True,,,,,,,no Binance USDT perp validated
DXLM,doge-lumens,False,,,,,,,no Binance USDT perp validated
DYDX,dydx-chain,True,,,DYDXUSDT,1.0,2021-09-09,,"ticker match; vs CoinGecko dydx-chain: 728 days, median gap 0.12%"
DYM,dymension,False,,,DYMUSDT,1.0,2024-02-07,,"ticker match; vs CoinGecko dymension: 728 days, median gap 0.14%"
DZSOL,doublezero-staked-sol,False,,,,,,,no Binance USDT perp validated
EAI,eagle-ai,False,,,,,,,no Binance USDT perp validated
EARNAUSD,earnausd,False,,,,,,,no Binance USDT perp validated
EARNETH,lido-earn-eth,True,,,,,,,no Binance USDT perp validated
EAT,375ai,False,,,,,,,no Binance USDT perp validated
EBTC,ebtc-2,True,,,,,,,no Binance USDT perp validated
ECHO,echo-protocol,False,,,,,,,no Binance USDT perp validated
EDEL,edel,False,,,,,,,no Binance USDT perp validated
EDEN,openeden,False,,,EDENUSDT,1.0,2025-09-30,,"ticker match; vs CoinGecko openeden: 353 days, median gap 0.20%"
EDGE,edgex,True,,,EDGEUSDT,1.0,2026-03-19,,"ticker match; vs CoinGecko edgex: 172 days, median gap 0.12%"
EDGESOL,edgevana-staked-sol,False,,,,,,,no Binance USDT perp validated
EDU,edu-coin,True,,,EDUUSDT,1.0,2023-04-28,,"ticker match; vs CoinGecko edu-coin: 728 days, median gap 0.15%"
EDUM,edum,False,,,,,,,no Binance USDT perp validated
EDX,edexa,True,,,,,,,no Binance USDT perp validated
EEG,equitedge,False,,,,,,,no Binance USDT perp validated
EEMON,ishares-msci-emerging-markets-etf-ondo-tokenized-etf,False,,,,,,,no Binance USDT perp validated
EETH,ether-fi-staked-eth,False,,,,,,,no Binance USDT perp validated
EFAON,ishares-msci-eafe-etf-ondo-tokenized-etf,False,,,,,,,no Binance USDT perp validated
EFI,efinity,False,,,,,,,no Binance USDT perp validated
EGL1,egl1,True,,,,,,,no Binance USDT perp validated
EGLD,elrond-erd-2,True,,,EGLDUSDT,1.0,2020-09-14,,"ticker match; vs CoinGecko elrond-erd-2: 728 days, median gap 0.11%"
EGN,edu3games,False,,,,,,,no Binance USDT perp validated
EIGEN,eigenlayer,True,,,EIGENUSDT,1.0,2024-10-01,,"ticker match; vs CoinGecko eigenlayer: 717 days, median gap 0.11%"
EITHER,eitherway,True,,,,,,,no Binance USDT perp validated
EKUBO,ekubo-protocol,False,,,,,,,no Binance USDT perp validated
EL,elysia,False,,,,,,,no Binance USDT perp validated
ELA,elastos,False,,,,,,,no Binance USDT perp validated
ELEPHANT,elephant-money,True,,,,,,,no Binance USDT perp validated
ELF,aelf,True,,,,,,,no Binance USDT perp validated
ELG,escoin-token,True,,,,,,,no Binance USDT perp validated
ELIZAOS,elizaos,False,,,,,,,no Binance USDT perp validated
ELON,dogelon-mars,True,,,,,,,no Binance USDT perp validated
ELP,elympics,False,,,,,,,no Binance USDT perp validated
ELSA,elsa,True,,,ELSAUSDT,1.0,2026-01-22,,"ticker match; vs CoinGecko elsa: 239 days, median gap 0.26%"
EMDR,modulr,False,,,,,,,no Binance USDT perp validated
EMP,empyreal,False,,,,,,,no Binance USDT perp validated
EMT,earthmeta,False,,,,,,,no Binance USDT perp validated
ENA,ethena,True,,,ENAUSDT,1.0,2024-04-02,,"ticker match; vs CoinGecko ethena: 728 days, median gap 0.10%"
ENG,eggle-energy,False,,,,,,,no Binance USDT perp validated
ENJ,enjincoin,True,,,ENJUSDT,1.0,2020-09-29,,"ticker match; vs CoinGecko enjincoin: 728 days, median gap 0.14%"
ENS,ethereum-name-service,True,,,ENSUSDT,1.0,2021-11-29,,"ticker match; vs CoinGecko ethereum-name-service: 728 days, median gap 0.10%"
ENSO,enso,True,,,ENSOUSDT,1.0,2025-10-14,,"ticker match; vs CoinGecko enso: 339 days, median gap 0.18%"
EOS,eos,False,,,,,,,no Binance USDT perp validated
EPIC,epic-chain,False,,,EPICUSDT,1.0,2025-03-13,,"ticker match; vs CoinGecko epic-chain: 554 days, median gap 0.15%"
EPS,ellipsis,False,,,,,,,no Binance USDT perp validated
EPT,balance,False,,,EPTUSDT,1.0,2025-04-21,2026-01-29,"ticker match; vs CoinGecko balance: 284 days, median gap 0.24%"
EQB,equilibria-finance,False,,,,,,,no Binance USDT perp validated
ERA,caldera,True,,,ERAUSDT,1.0,2025-07-17,,"ticker match; vs CoinGecko caldera: 428 days, median gap 0.24%"
ERG,ergo,True,,,,,,,no Binance USDT perp validated
ES,eclipse-3,True,,,,,,,no Binance USDT perp validated
ESP,espresso,True,,,ESPUSDT,1.0,2026-02-10,,"ticker match; vs CoinGecko espresso: 219 days, median gap 0.16%"
ESPORTS,yooldo-games,True,,,ESPORTSUSDT,1.0,2025-07-29,,"ticker match; vs CoinGecko yooldo-games: 416 days, median gap 0.43%"
ESX,estatex,False,,,,,,,no Binance USDT perp validated
ETC,ethereum-classic,True,,,ETCUSDT,1.0,2020-01-16,,"ticker match; vs CoinGecko ethereum-classic: 728 days, median gap 0.08%"
ETH,ethereum,True,,,ETHUSDT,1.0,2019-11-27,,"ticker match; vs CoinGecko ethereum: 728 days, median gap 0.06%"
ETH+,reserve-protocol-eth-plus,False,,,,,,,no Binance USDT perp validated
ETH0,eth0,False,,,,,,,no Binance USDT perp validated
ETH2X-FLI,eth-2x-flexible-leverage-index,False,,,,,,,no Binance USDT perp validated
ETHDYDX,dydx,False,,,,,,,no Binance USDT perp validated
ETHFI,ether-fi,True,,,ETHFIUSDT,1.0,2024-03-18,,"ticker match; vs CoinGecko ether-fi: 728 days, median gap 0.09%"
ETHIX,ethichub,False,,,,,,,no Binance USDT perp validated
ETHW,ethereum-pow-iou,True,,,ETHWUSDT,1.0,2023-11-28,,"ticker match; vs CoinGecko ethereum-pow-iou: 728 days, median gap 0.19%"
ETHX,stader-ethx,False,,,,,,,no Binance USDT perp validated
ETN,electroneum,True,,,,,,,no Binance USDT perp validated
EUL,euler,True,,,EULUSDT,1.0,2025-10-13,,"ticker match; vs CoinGecko euler: 340 days, median gap 0.18%"
EURA,ageur,False,,,,,,,no Binance USDT perp validated
EURC,euro-coin,True,,,,,,,no Binance USDT perp validated
EURCV,societe-generale-forge-eurcv,True,,,,,,,no Binance USDT perp validated
EURE,monerium-eur-money-2,True,,,,,,,no Binance USDT perp validated
EURI,eurite,True,,,,,,,no Binance USDT perp validated
EUROP,schuman-europ,False,,,,,,,no Binance USDT perp validated
EURQ,quantoz-eurq,False,,,,,,,no Binance USDT perp validated
EURR,stablr-euro,False,,,,,,,no Binance USDT perp validated
EURS,stasis-eurs,True,,,,,,,no Binance USDT perp validated
EURSPKCC,spiko-digital-assets-cash-carry-fund-euro-share-class,True,,,,,,,no Binance USDT perp validated
EURT,tether-eurt,False,,,,,,,no Binance USDT perp validated
EUSD,electronic-usd,True,,,,,,,no Binance USDT perp validated
EUTBL,eutbl,True,,,,,,,no Binance USDT perp validated
EV,everything,True,,,,,,,no Binance USDT perp validated
EVAA,evaa-protocol,False,,,EVAAUSDT,1.0,2025-10-03,,"ticker match; vs CoinGecko evaa-protocol: 350 days, median gap 0.27%"
EVER,everscale,False,,,,,,,no Binance USDT perp validated
EVR,evernode,False,,,,,,,no Binance USDT perp validated
EWT,energy-web-token,True,,,,,,,no Binance USDT perp validated
EXC,elonxcat,False,,,,,,,no Binance USDT perp validated
EXCC,exchangecoin,False,,,,,,,no Binance USDT perp validated
EXOD,exod,True,,,,,,,no Binance USDT perp validated
EXTRA,extra-finance,False,,,,,,,no Binance USDT perp validated
EZETH,renzo-restaked-eth,False,,,,,,,no Binance USDT perp validated
EZSOL,renzo-restaked-sol,False,,,,,,,no Binance USDT perp validated
F,synfutures,True,,,FUSDT,1.0,2025-06-18,,"ticker match; vs CoinGecko synfutures: 457 days, median gap 0.24%"
FACY,araistotle,False,,,,,,,no Binance USDT perp validated
FAF,flash-trade,False,,,,,,,no Binance USDT perp validated
FAI,freysa-ai,True,,,,,,,no Binance USDT perp validated
FAIR3,fair-and-free,False,,,,,,,no Binance USDT perp validated
FAR,farcana,False,,,,,,,no Binance USDT perp validated
FARM,harvest-finance,False,,,,,,,no Binance USDT perp validated
FARTCOIN,fartcoin,True,,,FARTCOINUSDT,1.0,2024-12-20,,"ticker match; vs CoinGecko fartcoin: 637 days, median gap 0.14%"
FB,fractal-bitcoin,True,,,,,,,no Binance USDT perp validated
FBOMB,fbomb,False,,,,,,,no Binance USDT perp validated
FBTC,ignition-fbtc,False,,,,,,,no Binance USDT perp validated
FCT,firmachain,False,,,,,,,no Binance USDT perp validated
FDIT,fidelity-digital-interest-token,True,,,,,,,no Binance USDT perp validated
FDUSD,first-digital-usd,True,,,,,,,no Binance USDT perp validated
FEG,feg-token-2,False,,,,,,,no Binance USDT perp validated
FEI,fei-usd,False,,,,,,,no Binance USDT perp validated
FELY,felysyum,False,,,,,,,no Binance USDT perp validated
FET,fetch-ai,True,,,FETUSDT,1.0,2023-01-15,,"ticker match; vs CoinGecko fetch-ai: 728 days, median gap 0.11%"
FEUSD,felix-feusd,True,,,,,,,no Binance USDT perp validated
FF,falcon-finance-ff,True,,,FFUSDT,1.0,2025-09-29,,"ticker match; vs CoinGecko falcon-finance-ff: 354 days, median gap 0.16%"
FHE,mind-network,False,,,FHEUSDT,1.0,2025-04-12,,"ticker match; vs CoinGecko mind-network: 524 days, median gap 0.32%"
FIAS,fias,False,,,,,,,no Binance USDT perp validated
FIDA,bonfida,True,,,FIDAUSDT,1.0,2024-09-19,,"ticker match; vs CoinGecko bonfida: 728 days, median gap 0.13%"
FIDD,fidelity-digital-dollar,True,,,,,,,no Binance USDT perp validated
FIDU,fidu,False,,,,,,,no Binance USDT perp validated
FIGR_HELOC,figure-heloc,True,,,,,,,no Binance USDT perp validated
FIH,fih,False,,,,,,,no Binance USDT perp validated
FIL,filecoin,True,,,FILUSDT,1.0,2020-10-16,,"ticker match; vs CoinGecko filecoin: 728 days, median gap 0.08%"
FIO,fio-protocol,False,,,FIOUSDT,1.0,2024-09-20,2026-04-14,"ticker match; vs CoinGecko fio-protocol: 572 days, median gap 0.16%"
FIRO,zcoin,True,,,,,,,no Binance USDT perp validated
FIS,stafi,False,,,FISUSDT,1.0,2025-04-25,2025-12-09,"ticker match; vs CoinGecko stafi: 229 days, median gap 0.16%"
FITFI,step-app-fitfi,False,,,,,,,no Binance USDT perp validated
FIUSD,sygnum-fiusd-liquidity-fund,True,,,,,,,no Binance USDT perp validated
FKH,flying-ketamine-horse,False,,,,,,,no Binance USDT perp validated
FLAY,flayer,False,,,,,,,no Binance USDT perp validated
FLIP,chainflip,True,,,,,,,no Binance USDT perp validated
FLIX,omniflix-network,False,,,,,,,no Binance USDT perp validated
FLM,flamingo-finance,False,,,FLMUSDT,1.0,2020-09-29,2025-11-20,"ticker match; vs CoinGecko flamingo-finance: 427 days, median gap 0.22%"
FLOCK,flock-2,True,,,FLOCKUSDT,1.0,2025-09-09,,"ticker match; vs CoinGecko flock-2: 374 days, median gap 0.28%"
FLOKI,floki,True,,,1000FLOKIUSDT,1000.0,2023-05-06,,"ticker match; vs CoinGecko floki: 728 days, median gap 0.09%"
FLOW,flow,True,,,FLOWUSDT,1.0,2022-02-09,,"ticker match; vs CoinGecko flow: 728 days, median gap 0.16%"
FLP.1,flash-liquidity-token,False,,,,,,,no Binance USDT perp validated
FLR,flare-networks,True,,,,,,,no Binance USDT perp validated
FLRETH,flare-staked-ether,False,,,,,,,no Binance USDT perp validated
FLT,fluence-2,False,,,,,,,no Binance USDT perp validated
FLUID,instadapp,True,,,FLUIDUSDT,1.0,2025-09-24,,"ticker match; vs CoinGecko instadapp: 359 days, median gap 0.19%"
FLUX,zelcash,True,,,FLUXUSDT,1.0,2024-09-03,,"ticker match; vs CoinGecko zelcash: 728 days, median gap 0.15%"
FLUXB,fluxbot,False,,,,,,,no Binance USDT perp validated
FLX,flux-token,False,,,,,,,no Binance USDT perp validated
FM,full-moon,False,,,,,,,no Binance USDT perp validated
FNCT,financie-token,False,,,,,,,no Binance USDT perp validated
FO,official-fo,True,,,,,,,no Binance USDT perp validated
FOGO,fogo,True,,,FOGOUSDT,1.0,2026-01-10,,"ticker match; vs CoinGecko fogo: 247 days, median gap 0.12%"
FOLKS,folks,True,,,FOLKSUSDT,1.0,2025-11-06,,"ticker match; vs CoinGecko folks: 316 days, median gap 0.44%"
FOOM,foom,False,,,,,,,no Binance USDT perp validated
FOREST,forest-protocol,False,,,,,,,no Binance USDT perp validated
FORM,four,True,,,FORMUSDT,1.0,2025-03-19,,"ticker match; vs CoinGecko four: 548 days, median gap 0.13%"
FORT,forta,False,,,,,,,no Binance USDT perp validated
FORTH,ampleforth-governance-token,False,,,FORTHUSDT,1.0,2025-04-08,2026-03-23,"ticker match; vs CoinGecko ampleforth-governance-token: 350 days, median gap 0.16%"
FOX,shapeshift-fox-token,False,,,,,,,no Binance USDT perp validated
FOXSY,foxsy-ai,False,,,,,,,no Binance USDT perp validated
FOXY,foxy,False,,,,,,,no Binance USDT perp validated
FPIS,frax-price-index-share,False,,,,,,,no Binance USDT perp validated
FRAX,frax,True,,,,,,,no Binance USDT perp validated
FREYA,freya-by-virtuals,False,,,,,,,no Binance USDT perp validated
FRIEND,friend-tech,False,,,,,,,no Binance USDT perp validated
FROG,just-a-frog,True,,,,,,,no Binance USDT perp validated
FROGE,frogevip,False,,,,,,,no Binance USDT perp validated
FROGGIE,froggie,False,,,,,,,no Binance USDT perp validated
FROK,frok-ai,False,,,,,,,no Binance USDT perp validated
FROTH,froth,False,,,,,,,no Binance USDT perp validated
FRXETH,frax-ether,False,,,,,,,no Binance USDT perp validated
FRXUSD,frax-usd,True,,,,,,,no Binance USDT perp validated
FT,flying-tulip,True,,,,,,,no Binance USDT perp validated
FTMX,ftmtoken,False,,,,,,,no Binance USDT perp validated
FTN,fasttoken,False,,,,,,,no Binance USDT perp validated
FTRB,faith-tribe,True,,,,,,,no Binance USDT perp validated
FUEL,fuel-network,False,,,,,,,no Binance USDT perp validated
FUKU,fuku-3,False,,,,,,,no Binance USDT perp validated
FUL,fulcrom,True,,,,,,,no Binance USDT perp validated
FUN,funfair,False,,,FUNUSDT,1.0,2025-03-31,2026-04-14,"ticker match; vs CoinGecko funfair: 380 days, median gap 0.24%"
FUSD,freedom-dollar,False,,,,,,,no Binance USDT perp validated
FUSE,fuse-network-token,False,,,,,,,no Binance USDT perp validated
FUST,fust-token,False,,,,,,,no Binance USDT perp validated
FUZZY,fuzzybear,False,,,,,,,no Binance USDT perp validated
FWETH,fluid-wrapped-ether,False,,,,,,,no Binance USDT perp validated
FWOG,fwog,False,,,,,,,no Binance USDT perp validated
FWSTETH,fluid-wrapped-staked-eth,False,,,,,,,no Binance USDT perp validated
FXRP,flare-bridged-xrp-flare,False,,,,,,,no Binance USDT perp validated
FXSAVE,fx-usd-saving,True,,,,,,,no Binance USDT perp validated
FXUSD,f-x-protocol-fxusd,True,,,,,,,no Binance USDT perp validated
G,g-token,True,,,GUSDT,1.0,2024-08-15,,"ticker match; vs CoinGecko g-token: 728 days, median gap 0.16%"
GAFI,gamefi,False,,,,,,,no Binance USDT perp validated
GAI,graphai,False,,,,,,,no Binance USDT perp validated
GAIA,gaia-3,False,,,,,,,no Binance USDT perp validated
GAIB,gaib,False,,,,,,,no Binance USDT perp validated
GAIX,gaiai,False,,,,,,,no Binance USDT perp validated
GAL,project-galaxy,True,,,,,,,no Binance USDT perp validated
GALA,gala,True,,,GALAUSDT,1.0,2021-09-17,,"ticker match; vs CoinGecko gala: 728 days, median gap 0.10%"
GALEON,galeon,False,,,,,,,no Binance USDT perp validated
GAMA,gama-token,True,,,,,,,no Binance USDT perp validated
GAME,gamebuild,True,,,,,,,no Binance USDT perp validated
GAS,gas,True,,,GASUSDT,1.0,2023-10-25,,"ticker match; vs CoinGecko gas: 728 days, median gap 0.20%"
GBACK,giveback,False,,,,,,,no Binance USDT perp validated
GBYTE,byteball,False,,,,,,,no Binance USDT perp validated
GCB,global-commercial-business,True,,,,,,,no Binance USDT perp validated
GDOT,gigadot,False,,,,,,,no Binance USDT perp validated
GEAR,gearbox,False,,,,,,,no Binance USDT perp validated
GEKKO,gekko,True,,,,,,,no Binance USDT perp validated
GEL,gelato,False,,,,,,,no Binance USDT perp validated
GEM,real-gem-token,False,,,,,,,no Binance USDT perp validated
GEMS,gems-vip,False,,,,,,,no Binance USDT perp validated
GENIUS,genius-3,True,,,GENIUSUSDT,1.0,2026-04-16,,"ticker match; vs CoinGecko genius-3: 155 days, median gap 0.10%"
GEOD,geodnet,True,,,,,,,no Binance USDT perp validated
GET,global-entertainment-token,False,,,,,,,no Binance USDT perp validated
GETH,gigaeth,False,,,,,,,no Binance USDT perp validated
GF,guildfi,False,,,,,,,no Binance USDT perp validated
GFAL,games-for-a-living,False,,,,,,,no Binance USDT perp validated
GFI,goldfinch,True,,,,,,,no Binance USDT perp validated
GGBR,goldfish-gold,True,,,,,,,no Binance USDT perp validated
GGUSD,good-game-us-dollar,False,,,,,,,no Binance USDT perp validated
GH,greyhound-2,False,,,,,,,no Binance USDT perp validated
GHO,gho,True,,,,,,,no Binance USDT perp validated
GHST,aavegotchi,False,,,GHSTUSDT,1.0,2024-09-23,2026-02-05,"ticker match; vs CoinGecko aavegotchi: 501 days, median gap 0.12%"
GHUB,gemhub,False,,,,,,,no Binance USDT perp validated
GHX,gamercoin,False,,,,,,,no Binance USDT perp validated
GIGA,gigachad-2,True,,,,,,,no Binance USDT perp validated
GIGGLE,giggle-fund,True,,,GIGGLEUSDT,1.0,2025-10-09,,"ticker match; vs CoinGecko giggle-fund: 344 days, median gap 0.10%"
GIGL,giggle-panda,False,,,,,,,no Binance USDT perp validated
GIZA,giza,False,,,,,,,no Binance USDT perp validated
GLADIUS,gladius,False,,,,,,,no Binance USDT perp validated
GLC,goldcoin,False,,,,,,,no Binance USDT perp validated
GLDX,gold-xstock,False,,,,,,,no Binance USDT perp validated
GLEEC,gleec-coin,False,,,,,,,no Binance USDT perp validated
GLIDR,glidr,True,,,,,,,no Binance USDT perp validated
GLM,golem,True,,,GLMUSDT,1.0,2024-02-22,,"ticker match; vs CoinGecko golem: 728 days, median gap 0.14%"
GLMR,moonbeam,True,,,,,,,no Binance USDT perp validated
GM,gomble,False,,,,,,,no Binance USDT perp validated
GME,game-stop,False,,,,,,,no Binance USDT perp validated
GMEE,gamee,False,,,,,,,no Binance USDT perp validated
GMRT,gamer-tag,True,,,,,,,no Binance USDT perp validated
GMT,stepn,True,,,GMTUSDT,1.0,2022-03-14,,"ticker match; vs CoinGecko stepn: 728 days, median gap 0.11%"
GMX,gmx,True,,,GMXUSDT,1.0,2023-02-16,,"ticker match; vs CoinGecko gmx: 728 days, median gap 0.11%"
GNO,gnosis,True,,,,,,,no Binance USDT perp validated
GNS,gains-network,False,,,,,,,no Binance USDT perp validated
GNUS,genius-ai,False,,,,,,,no Binance USDT perp validated
GOAT,goatseus-maximus,True,,,GOATUSDT,1.0,2024-10-24,,"ticker match; vs CoinGecko goatseus-maximus: 694 days, median gap 0.17%"
GOATED,goat-network,False,,,,,,,no Binance USDT perp validated
GOCHU,gochujangcoin,False,,,,,,,no Binance USDT perp validated
GODS,gods-unchained,False,,,,,,,no Binance USDT perp validated
GOG,guild-of-guardians,False,,,,,,,no Binance USDT perp validated
GOHOME,gohome,True,,,,,,,no Binance USDT perp validated
GOLDAO,gold-dao,False,,,,,,,no Binance USDT perp validated
GOLDN,goldn,False,,,,,,,no Binance USDT perp validated
GOMINING,gmt-token,True,,,,,,,no Binance USDT perp validated
GOOGLON,alphabet-class-a-ondo-tokenized-stock,True,,,,,,,no Binance USDT perp validated
GOOGLX,alphabet-xstock,True,,,,,,,no Binance USDT perp validated
GOR,gorbagana,False,,,,,,,no Binance USDT perp validated
GP,graphite-protocol,False,,,,,,,no Binance USDT perp validated
GPCX,good-person-coin,False,,,,,,,no Binance USDT perp validated
GPS,goplus-security,True,,,GPSUSDT,1.0,2025-02-17,,"ticker match; vs CoinGecko goplus-security: 578 days, median gap 0.18%"
GPT,gold-park,True,,,,,,,no Binance USDT perp validated
GPU,nodeai,False,,,,,,,no Binance USDT perp validated
GRAIL,camelot-token,False,,,,,,,no Binance USDT perp validated
GRAM,gram-2,False,,,,,,,no Binance USDT perp validated
GRASS,grass,True,,,GRASSUSDT,1.0,2024-11-08,,"ticker match; vs CoinGecko grass: 679 days, median gap 0.16%"
GRC,gridcoin-research,False,,,,,,,no Binance USDT perp validated
GRDM,grdm,False,,,,,,,no Binance USDT perp validated
GREEN,green,False,,,,,,,no Binance USDT perp validated
GRIFFAIN,griffain,True,,,GRIFFAINUSDT,1.0,2025-01-02,,"ticker match; vs CoinGecko griffain: 624 days, median gap 0.21%"
GRIN,grin,False,,,,,,,no Binance USDT perp validated
GRND,superwalk,True,,,,,,,no Binance USDT perp validated
GROK,grok-2,False,,,,,,,no Binance USDT perp validated
GROW,valleydao,False,,,,,,,no Binance USDT perp validated
GRP,grape-2-2,False,,,,,,,no Binance USDT perp validated
GRPH,soul-graph,False,,,,,,,no Binance USDT perp validated
GRS,groestlcoin,False,,,,,,,no Binance USDT perp validated
GRT,the-graph,True,,,GRTUSDT,1.0,2020-12-18,,"ticker match; vs CoinGecko the-graph: 728 days, median gap 0.11%"
GRX,grx-chain,True,,,,,,,no Binance USDT perp validated
GS,gammaswap,False,,,,,,,no Binance USDT perp validated
GST-SOL,green-satoshi-token,False,,,,,,,no Binance USDT perp validated
GT,gatechain-token,True,,,,,,,no Binance USDT perp validated
GT3,gt3-finance,False,,,,,,,no Binance USDT perp validated
GTBTC,gate-wrapped-btc,False,,,,,,,no Binance USDT perp validated
GTC,gitcoin,False,,,GTCUSDT,1.0,2021-03-15,,"ticker match; vs CoinGecko gitcoin: 728 days, median gap 0.22%"
GTCBBTCC,cbbtc-core-morpho-vault,False,,,,,,,no Binance USDT perp validated
GTETH,gteth,False,,,,,,,no Binance USDT perp validated
GTUSDA,gauntlet-usd-alpha,True,,,,,,,no Binance USDT perp validated
GTUSDC,gauntlet-usdc-prime-morpho-vault,False,,,,,,,no Binance USDT perp validated
GUA,superfortune,True,,,GUAUSDT,1.0,2025-12-21,,"ticker match; vs CoinGecko superfortune: 271 days, median gap 0.43%"
GUD,gud-tech,False,,,,,,,no Binance USDT perp validated
GUILD,blockchainspace,False,,,,,,,no Binance USDT perp validated
GUN,gunz,True,,,GUNUSDT,1.0,2025-03-31,,"ticker match; vs CoinGecko gunz: 536 days, median gap 0.16%"
GUSD,gusd,True,,,,,,,no Binance USDT perp validated
GWEI,ethgas-2,True,,,GWEIUSDT,1.0,2026-01-29,,"ticker match; vs CoinGecko ethgas-2: 232 days, median gap 0.31%"
GXA,galaxia,False,,,,,,,no Binance USDT perp validated
GXC,gxchain,True,,,,,,,no Binance USDT perp validated
GYD,gyroscope-gyd,False,,,,,,,no Binance USDT perp validated
GYEN,gyen,False,,,,,,,no Binance USDT perp validated
H,humanity,True,,,HUSDT,1.0,2025-06-25,,"ticker match; vs CoinGecko humanity: 450 days, median gap 0.28%"
H2O,h2o-2,True,,,,,,,no Binance USDT perp validated
HABITAT,habitat-2,False,,,,,,,no Binance USDT perp validated
HAEDAL,haedal,False,,,HAEDALUSDT,1.0,2025-05-01,,"ticker match; vs CoinGecko haedal: 505 days, median gap 0.16%"
HAHYPE,hahype,False,,,,,,,no Binance USDT perp validated
HAI,hackenai,False,,,,,,,no Binance USDT perp validated
HAIO,haio,False,,,,,,,no Binance USDT perp validated
HAIR,hairdao,False,,,,,,,no Binance USDT perp validated
HAKHYPE,harmonix-khype,False,,,,,,,no Binance USDT perp validated
HANA,hana-network,False,,,HANAUSDT,1.0,2025-09-26,,"ticker match; vs CoinGecko hana-network: 355 days, median gap 0.31%"
HANDY,handy,False,,,,,,,no Binance USDT perp validated
HANU,hanu-yokia,False,,,,,,,no Binance USDT perp validated
HAROLD,haroldonsol,False,,,,,,,no Binance USDT perp validated
HART,hara-token,False,,,,,,,no Binance USDT perp validated
HASH,hash-2,True,,,,,,,no Binance USDT perp validated
HASHAI,hashai,False,,,,,,,no Binance USDT perp validated
HASUI,haedal-staked-sui,False,,,,,,,no Binance USDT perp validated
HATCH,hatch-2,False,,,,,,,no Binance USDT perp validated
HBAR,hedera-hashgraph,True,,,HBARUSDT,1.0,2021-03-17,,"ticker match; vs CoinGecko hedera-hashgraph: 728 days, median gap 0.08%"
HBD,hive_dollar,True,,,,,,,no Binance USDT perp validated
HBHYPE,hyperbeat-ultra-hype,False,,,,,,,no Binance USDT perp validated
HBUSDT,hyperbeat-usdt,False,,,,,,,no Binance USDT perp validated
HDN,hydranet,False,,,,,,,no Binance USDT perp validated
HDX,hydradx,True,,,,,,,no Binance USDT perp validated
HEART,humans-ai,False,,,,,,,no Binance USDT perp validated
HEGIC,hegic,True,,,,,,,no Binance USDT perp validated
HEI,heima,False,,,HEIUSDT,1.0,2025-02-13,,"ticker match; vs CoinGecko heima: 582 days, median gap 0.16%"
HEMI,hemi,False,,,HEMIUSDT,1.0,2025-08-29,,"ticker match; vs CoinGecko hemi: 385 days, median gap 0.15%"
HEMIBTC,hemi-bitcoin,False,,,,,,,no Binance USDT perp validated
HERA,hera-finance,False,,,,,,,no Binance USDT perp validated
HERB,herbcoin,False,,,,,,,no Binance USDT perp validated
HERO,metahero,False,,,,,,,no Binance USDT perp validated
HEU,heurist,False,,,,,,,no Binance USDT perp validated
HEZ,hermez-network-token,True,,,,,,,no Binance USDT perp validated
HFT,hashflow,False,,,HFTUSDT,1.0,2023-04-05,2026-08-06,"ticker match; vs CoinGecko hashflow: 686 days, median gap 0.15%"
HFUN,hypurr-fun,False,,,,,,,no Binance USDT perp validated
HGPT,hypergpt,False,,,,,,,no Binance USDT perp validated
HI,hi-dollar,False,,,,,,,no Binance USDT perp validated
HIFI,hifi-finance,False,,,HIFIUSDT,1.0,2023-09-16,2025-10-02,"ticker match; vs CoinGecko hifi-finance: 378 days, median gap 0.16%"
HIPPO,sudeng,False,,,HIPPOUSDT,1.0,2024-11-13,2026-04-07,"ticker match; vs CoinGecko sudeng: 511 days, median gap 0.22%"
HIVE,hive,True,,,HIVEUSDT,1.0,2024-12-23,,"ticker match; vs CoinGecko hive: 634 days, median gap 0.17%"
HLDR,helder,True,,,,,,,no Binance USDT perp validated
HLN,enosys,False,,,,,,,no Binance USDT perp validated
HLSCOPE,hamilton-lane-senior-credit-opportunities-securitize-fund,False,,,,,,,no Binance USDT perp validated
HMSTR,hamster-kombat,False,,,HMSTRUSDT,1.0,2024-09-26,,"ticker match; vs CoinGecko hamster-kombat: 722 days, median gap 0.11%"
